pathway	pval	padj	log2err	ES	NES	size	leadingEdge
APC/C-mediated degradation of cell cycle proteins	9.36958617836518E-06	4.02191080173363E-05	0.593325476396405	0.735924446058845	2.78147057478889	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
APC/C:Cdc20 mediated degradation of Securin	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
APC/C:Cdc20 mediated degradation of mitotic proteins	9.36958617836518E-06	4.02191080173363E-05	0.593325476396405	0.735924446058845	2.78147057478889	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	9.36958617836518E-06	4.02191080173363E-05	0.593325476396405	0.735924446058845	2.78147057478889	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
AUF1 (hnRNP D0) binds and destabilizes mRNA	1.54521593565542E-09	2.03131511541368E-08	0.788186810800237	0.88594260806393	3.34847321417083	11	5685 3312 5702 5699 5720 5688 5686 5713 5700 5719 9861
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3	0.014852771233282	0.042957103651511	0.035406870604156	0.478003748189968	1.73011256590169	10	8365 653604 8340 8351 3017 8338 8347 3015
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	9.36958617836518E-06	4.02191080173363E-05	0.593325476396405	0.735924446058845	2.78147057478889	11	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Activation of NF-kappaB in B cells	9.0494748301205E-09	6.4888847929614E-08	0.747739663149885	0.88562091503268	3.20546414024029	10	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S	1.5891362400089E-07	1.03375769839754E-06	0.690132458796796	0.927457381211462	2.83565276094894	7	6229 6228 6230 1974 6223 8894 8666
Antigen processing-Cross presentation	0.027445500279486	0.071267945170187	0.029084350845237	0.406613372093023	1.59997207143455	12	5685 5702 5699 5720 5688 5686 5713 5700 5719 9861
