pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"AURKA Activation by TPX2"	1.62540063972561e-05	0.000546384676584687	0.575610261071129	0.722175021240442	2.54321862702452	11	5566 1453 54820 9814 1778 10540 1639 5518 22995 121441 84131
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.00303684852114032	0.0234885451989083	0.121273157924303	0.525387720416401	1.92079076611926	12	80152 54820 5905 79902 1778 5518 9183 81930 151246 1058 57405 1780
"Amplification of signal from the kinetochores"	0.00303684852114032	0.0234885451989083	0.121273157924303	0.525387720416401	1.92079076611926	12	80152 54820 5905 79902 1778 5518 9183 81930 151246 1058 57405 1780
"Anchoring of the basal body to the plasma membrane"	1.98424195661949e-06	0.000123873390720388	0.627256739718528	0.657877950244525	2.71216933542827	16	5566 1453 54820 9814 79600 1778 10540 1639 85302 5518 22995 121441 84131 27077 57545 4867
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers"	0.000157333111216	0.00312520770915418	0.355109745421332	0.803268251273345	2.29416607182865	7	973 5777 5293 3710 80228 5336 6786
"Assembly of active LPL and LIPC lipase complexes"	0.0108551021393066	0.0599541527067537	0.0147733179153029	-0.720916674618844	-1.62750605516525	6	51129 63924 337
"Base Excision Repair"	0.00752721812038543	0.0434821750090025	0.0415786809288392	0.742469240560034	1.7970223541021	5	7515 11284 4968 7013 5983
"Calnexin/calreticulin cycle"	0.00374641546668311	0.0275156900662272	0.0654597578602115	0.721196690006365	1.90558455790566	6	84447 5589 23193 10956 811 55757
"Cell Cycle Checkpoints"	0.00756211739287	0.0434821750090025	0.182480442653945	0.358131680872076	1.68888716298709	23	25946 9491 7157 80152 5883 54820 29882 9656 5905 79902 1778 4174 5518 9183 5983 5932 81930 151246 143471 1058 57405
"Cellular Senescence"	0.000229946502668597	0.00339847068819031	0.518848077743792	0.471376888699723	2.12106577634617	20	23135 50488 57634 5606 7157 2077 3159 5970 9261 23523 29882 79813 23466 8535 7013 1031 5602 3569 84733 8091
"Centrosome maturation"	1.45033339913844e-06	0.000105632615903916	0.643551836150722	0.722481937951551	2.73805321382266	13	5566 1453 54820 85378 9814 1778 10540 1639 5518 22995 121441 29922 84131
"Chromatin modifying enzymes"	2.98281844136927e-06	0.000162936457359797	0.627256739718528	0.38328528672432	2.2756638213397	43	23135 23067 10498 8085 3054 60 54815 57459 6598 57634 23030 1387 8289 2874 23326 5970 6597 2648 8295 6601 4791 9869 51780 79813 2033 84678 55683 10445 22992 27154 10474 84289 8242 23133 23338 7862 9070
"Chromatin organization"	2.98281844136927e-06	0.000162936457359797	0.627256739718528	0.38328528672432	2.2756638213397	43	23135 23067 10498 8085 3054 60 54815 57459 6598 57634 23030 1387 8289 2874 23326 5970 6597 2648 8295 6601 4791 9869 51780 79813 2033 84678 55683 10445 22992 27154 10474 84289 8242 23133 23338 7862 9070
