pathway	pval	padj	log2err	ES	NES	size	leadingEdge
"Cap-dependent Translation Initiation"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Eukaryotic Translation Elongation"	0.00198523401108098	0.0309151757405393	0.116736706722216	0.788888888888889	1.86490732963672	6	6164 6154 6160 9349 1933 6229
"Eukaryotic Translation Initiation"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Eukaryotic Translation Termination"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Extracellular matrix organization"	0.0116827136123756	0.0523385569834428	0.0487128320887104	0.759796903016345	1.69829553902843	5	1088 7040 3687 4318
"Formation of a pool of free 40S subunits"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"GTP hydrolysis and joining of the 60S ribosomal subunit"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Influenza Infection"	0.00622949611117255	0.0348851782225663	0.0639413944363945	0.696616944562278	1.79777873370203	8	6164 6154 6160 7040 9349
"Interleukin-4 and Interleukin-13 signaling"	0.00310196189018249	0.0309151757405393	0.0949156077934108	0.808026162575839	1.80609742139379	5	7040 3934 3687 4318
"L13a-mediated translational silencing of Ceruloplasmin expression"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Major pathway of rRNA processing in the nucleolus and cytosol"	0.0147530135333273	0.0590120541333091	0.0425508076679344	0.714267509320455	1.68850484803912	6	6164 6154 6160 9349 6229
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"	0.0112264803977094	0.0523385569834428	0.0481026833429408	0.697397359562052	1.72926245678479	7	6164 6154 6160 9349 6229
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Nonsense-Mediated Decay (NMD)"	0.0112264803977094	0.0523385569834428	0.0481026833429408	0.697397359562052	1.72926245678479	7	6164 6154 6160 9349 6229
"Peptide chain elongation"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Regulation of expression of SLITs and ROBOs"	0.00690957145554087	0.0368510477628847	0.061431601509359	0.716099039236419	1.7756350334748	7	6164 6154 6160 9349 6229
"Respiratory electron transport"	7.169891023305e-05	0.0026767593153672	0.538434096309916	0.835654596100279	2.07208430038126	7	4535 4540 4538 4519 4536 4513 7381
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins."	2.72779427809616e-05	0.00152756479573385	0.575610261071129	0.837988826815642	2.16262108421106	8	4508 4535 4540 4538 4519 4536 4513 7381
"Response of EIF2AK4 (GCN2) to amino acid deficiency"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"SRP-dependent cotranslational protein targeting to membrane"	0.00577685482348499	0.0340530389594905	0.0672212954858739	0.723808707849875	1.79475188315125	7	6164 6154 6160 9349 6229
"Selenoamino acid metabolism"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Selenocysteine synthesis"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"Signaling by ROBO receptors"	0.00798672087372802	0.0406596699026154	0.0558223953577294	0.665000355789356	1.77882327861291	9	6164 6154 6160 9349 5566 6229
"The citric acid (TCA) cycle and respiratory electron transport"	2.72779427809616e-05	0.00152756479573385	0.575610261071129	0.837988826815642	2.16262108421106	8	4508 4535 4540 4538 4519 4536 4513 7381
Translation	0.00296116087335815	0.0309151757405393	0.09291670906223	0.719658731668811	1.85724331487532	8	6164 6154 6160 9349 1933 6229
"Viral mRNA Translation"	0.00496851038687239	0.0309151757405393	0.0749140615565264	0.791267468322688	1.76863844311014	5	6164 6154 6160 9349 6229
"rRNA processing"	0.0147530135333273	0.0590120541333091	0.0425508076679344	0.714267509320455	1.68850484803912	6	6164 6154 6160 9349 6229
"rRNA processing in the nucleus and cytosol"	0.0147530135333273	0.0590120541333091	0.0425508076679344	0.714267509320455	1.68850484803912	6	6164 6154 6160 9349 6229
